P:Project Key (Charge Code or PACE ID),P:PTN Number,S:FA Number,S:USID,S:Site Name,P:PACE Job Number,S:Address Line 1,S:Address Line 2,S:City,S:State,S:ZIP,S:Latitude,S:Longitude
521517-S00556,3551A0Y6RH,11585724,133829.00,CLU6116,MRLOS078503,21500 NORDOFF STREET,,CANOGA PARK,CA,91304,34.23437200,-118.59880280
521517-S00492,3551A0Y64S,12787094,142554.00,CLV0611,MRLOS078647,APN 009 261 09,,BAKERSFIELD,CA,93301,35.36407000,-119.01851100
521517-S00260,3551A0Y6GE,12787096,139533.00,CLV0613,MRLOS078658,6521 TRUXTON AVENUE,,BAKERSFIELD,CA,93309,35.36128600,-119.07666700
521517-S00370,3551A0Y5NP,10087183,40916.00,COLORADO / LOS ROBLES,MRLOS078384,150 N Madison,,PASADENA,CA,91101,34.14861110,-118.13777780
521517-S00246,3551A0Y6S2,10086467,43295.00,CORONA AVE AND 1ST,MRLOS078592,2035 RIVER ROAD,,NORCO,CA,92860,33.90963890,-117.58172220
521517-S00629,3551A0Y6VQ,10112618,103499.00,CORONA SWITCH STATION   ,MRLOS078136,3960 SOUTH MAIN STREET,,CORONA,CA,92882,33.82894440,-117.57550000
521517-S00275,3551A0Y6PF,10103534,48932.00,CORONA WATER TANK,MRLOS078234,881 1/2 CORSICA DRIVE,,CORONA,CA,92879,33.89591670,-117.53352780
521517-S00227,3551A0Y6BF,10104186,47307.00,CS PROPERTIES,MRLOS078539,105 CRESCENT BAY DRIVE,,LAGUNA BEACH,CA,92651,33.54888890,-117.80277780
521517-S00383,3551A0W29X,10086723,16450.00,CSUN,MRLOS078745,18111 NORDHOFF STREET,,NORTHRIDGE,CA,91330,34.24122220,-118.52838890
521517-S00413,3551A0Y5PJ,10085685,11727.00,CULVER CITY OVLY - C055,MRLOS078313,3000 ROBERTSON BOULEVARD,,LOS ANGELES,CA,90034,34.03226110,-118.38970280
521517-S00571,3551A0Y6J3,10085899,11994.00,CULVER CITY WEST,MRLOS078628,5995 SOUTH SEPULVEDA,,CULVER CITY,CA,90230,33.98527780,-118.39527780
