P:Project Key (Charge Code or PACE ID),P:PTN Number,S:FA Number,S:USID,S:Site Name,P:PACE Job Number,S:Address Line 1,S:Address Line 2,S:City,S:State,S:ZIP,S:Latitude,S:Longitude
521517-S00372,3551A0Y5W4,10115646,97697.00,NL0349-01 SOCIAL SEC. and BOARD OF BARBERING,MRLOS078209,710 SOUTH CENTRAL AVENUE,,GLENDALE,CA,91204,34.13746940,-118.25757780
521517-S00520,3551A0Y60R,10115629,87465.00,NL0351-01 SAFARI BUILDING,MRLOS078185,1104 EAST BROADWAY,,GLENDALE,CA,91205,34.14613890,-118.24144440
521517-S00487,3551A0Y5VB,10150402,123234.00,NL0473-01 SCHROEDER RACING,MRLOS078611,2080 FLOYD STREET,,BURBANK,CA,91504,34.19423330,-118.33326390
521517-S00411,3551A0Y6G7,11585718,134285.00,NL0497-01 VALLARTA SHOPPING CENTER,MRLOS078484,1801 WEST AVENUE I,,LANCASTER,CA,93534,34.70480560,-118.16461110
521517-S00502,3551A0Y6DG,12992945,160229.00,NL0515-01 EL SEGUNDO BOULEVARD/LOMITA ST,MRLOS078722,400 LOMITA STREET DUP,,EL SEGUNDO,CA,90245,33.92031940,-118.40722500
521517-S00392,3551A0Y6MD,10068718,83050.00,NOGUEIRA BUILDING,MRLOS078254,500 York Blvd,,LOS ANGELES,CA,90042,34.12148330,-118.20683330
507406-6924,3551A0T48N,10086058,11810.00,NORTHRIDGE,MRLOS070693,7627 WHITE OAK,,RESEDA,CA,91335,34.20917000,-118.51942000
521517-S00549,3551A0Y603,10085773,12148.00,OAK KNOLL/HUNTINGTON,MRLOS078446,936 HUNTINGTON DRIVE,,SAN MARINO,CA,91108,34.11200000,-118.12586110
507406-7738,3551A0T3WC,10101296,40910.00,ONEILL REGIONAL PARK,MRLOS070813,"20437 LIVE OAK CANYON ROAD,",,RANCHO SANTA MARGARITA,CA,92688,33.66547000,-117.60731000
507406-6954,3551A0T4NK,10086484,12352.00,ONTARIO,MRLOS070502,2982 EAST INLAND EMPIRE BOULEVARD,,ONTARIO,CA,91764,34.06808000,-117.58947000
521517-S00268,3551A0Y5XY,10086940,12522.00,OV27 CAP OVERLAY,MRLOS078600,450 EAST HARBOR BOULEVARD,,VENTURA,CA,93001,34.27672220,-119.29352780
521517-S00479,3551A0Y6W5,10085955,11922.00,OVERLAND/VENICE,MRLOS078716,3701 OVERLAND AVENUE,,LOS ANGELES,CA,90034,34.02105560,-118.40913890
521517-S00376,3551A0Y5PK,10087190,42689.00,Osborne & Glenoaks,MRLOS078398,10643 Glenoaks Blvd,,PACOIMA,CA,91331,34.26277780,-118.40080280
521517-S00536,3551A0Y6XG,10086718,16500.00,PARAMOUNT PICTURES,MRLOS078328,5555 MELROSE AVENUE,,LOS ANGELES,CA,90038,34.08455000,-118.32150560
521517-S00583,3551A0Y5YS,14024032,179048.00,PARK TERRACE DRIVE,MRLOS078739,6801 PARK TERRACE DRIVE,,LOS ANGELES,CA,90045,33.97750700,-118.39322300
521517-S00477,3551A0Y6DJ,10086580,15986.00,PGA WEST,MRLOS078715,81610 AVENUE 58,,LA QUINTA,CA,92253,33.62986390,-116.23906670
521517-S00156,3551A0Y5P6,10085987,11902.00,PICO/BEVERWIL OVLY - C170,MRLOS078164,1224 SOUTH BEVERWIL DRIVE,,LOS ANGELES,CA,90035,34.05536110,-118.39830560
521517-S00378,3551A0Y67G,10085756,12366.00,POMONA FWY/ORAN OVLY - C543,MRLOS078401,21725 EAST GATEWAY DRIVE,,DIAMOND BAR,CA,91765,34.00105560,-117.83363890
507406-7734,3551A0T491,10101267,43876.00,QUAIL VALLEY MIDDLE SCHOOL,MRLOS070774,10058 ARROWHEAD ROAD,,PHELAN,CA,92371,34.43017000,-117.45642000
521517-S00603,3551A0Y5W5,10087067,12484.00,R086/ Foothill Corridor 1,MRLOS078194,26001 Dimension Dr,,Lake Forest,CA,92630,33.67389200,-117.67323900
521517-S00287,3551A0Y6Q7,10086531,16462.00,RECYCLING CENTER THERMAL,MRLOS078649,65949 HIGHWAY 86,,THERMAL,CA,92274,33.56916670,-116.18250000
521517-S00042,3551A0Y6DF,10086827,11655.00,ROSAMOND OVERLAY,MRLOS078474,481 LAUREL STREET,,ROSAMOND,CA,93560,34.82750000,-118.17130560
521517-S00200,3551A0Y6HX,10087193,43166.00,ROSCOE and SHOUP,MRLOS078407,22110 ROSCOE BOULEVARD,,CANOGA PARK,CA,91304,34.21936390,-118.60807780
507406-7639,3551A0T4NN,10094564,27377.00,ROWLAND WATER TANK,MRLOS070516,3021 SOUTH FULLERTON ROAD,,ROWLAND HEIGHTS,CA,91748,33.96722000,-117.91583000
521517-S00499,3551A0Y6V8,10087461,50971.00,RS0021-01 (ORANGE CM261) 2 NEW,MRLOS078711,41280 PLACER LAFITE,,TEMECULA,CA,92591,33.52052780,-117.10608330
521517-S00104,3551A0Y6FY,10100080,87373.00,RS0022-01 MENIFEE VALLEY,MRLOS078405,28818 LINDENBERGER ROAD,,MENIFEE,CA,92584,33.69605560,-117.14502780
521517-S00181,3551A0Y61K,10087464,50881.00,RS0030-01 4 NEW,MRLOS078719,26930 FIR AVENUE,,MORENO VALLEY,CA,92555,33.93726500,-117.19251100
521517-S00337,3551A0Y6Q8,10100075,87088.00,RS0035-04 LA SIERRA CHURCH,MRLOS078395,11585 PIERCE STREET,,RIVERSIDE,CA,92505,33.91458330,-117.49930560
521517-S00531,3551A0Y66M,10068764,104052.00,RS0042-06 EVERGREEN MASONIC CENTER COLO,MRLOS078278,5801 CHICAGO AVENUE,,RIVERSIDE,CA,92506,33.94888610,-117.34751670
521517-S00570,3551A0Y5PH,10106720,103387.00,RS0152-03 BLOCKBUSTER,MRLOS078621,29740 RANCHO CALIFORNIA ROAD,,TEMECULA,CA,92591,33.50650000,-117.14369440
521517-S00113,3551A0Y5TP,10112463,97748.00,RS0172-01 SALON,MRLOS078122,38811 CHERRY VALLEY BOULEVARD,,CHERRY VALLEY,CA,92223,33.96800000,-116.98477780
521517-S00406,3551A0Y6SJ,10136071,107001.00,RS0176-02 EAGLE GLEN PARK,MRLOS078483,4190 BENNETT AVENUE,,CORONA,CA,92883,33.81502780,-117.53330560
521517-S00090,3551A0Y62W,10127632,118465.00,RS0231-91 HERITAGE PALMS,MRLOS078294,80761 FRED WARING DRIVE DUP1,,INDIO,CA,92201,33.72901940,-116.25560280
521517-S00249,3551A0Y6VD,10144133,120305.00,RS0279-01 CACTUS BOOSTER STATION,MRLOS078532,21890 CACTUS AVENUE,,RIVERSIDE,CA,92518,33.90924600,-117.28338200
521517-S00234,3551A0Y5T7,10148706,112946.00,RS0311-01-SOUTH HILLS CHURCH,MRLOS078556,2587 SOUTH MAIN STREET,,CORONA,CA,92882,33.85083330,-117.56944440
521517-S00465,3551A0Y6V3,10150416,123429.00,RS0323-02 WIEST INDUSTRIAL PARK,MRLOS078651,3890 PIERCE STREET,,RIVERSIDE,CA,92503,33.89614900,-117.49458700
521517-S00072,3551A0Y6R5,10150417,125181.00,RS0324-02 EWING IRRIGATION,MRLOS078659,13465 ESTELLE STREET,,CORONA,CA,92879,33.88333610,-117.51703890
521517-S00132,3551A0W29C,10150464,118490.00,RS0325-01 BEAUMONT,MRLOS078762,655 EAST FIFTH STREET,,BEAUMONT,CA,92223,33.92747200,-116.97320000
521517-S00468,3551A0Y645,10150418,123426.00,RS0326-01 PIGEON PASS,MRLOS078666,11875 PIGEON PASS ROAD,,MORENO VALLEY,CA,92557,33.94832600,-117.26319440
521517-S00021,3551A0Y6JR,10150465,119815.00,RS0328-01 HAUN PROFESSIONAL CENTER,MRLOS078208,29826 HAUN ROAD,,MENIFEE,CA,92586,33.68707220,-117.17360830
521517-S00273,3551A0Y6E8,10150420,124719.00,RS0329-02 FIESTA,MRLOS078675,43763 FLORIDA AVENUE,,HEMET,CA,92544,33.74700100,-116.89713600
521517-S00329,3551A0Y6BV,10150466,134457.00,RS0330-03 BEREAN FELLOWSHIP BAPTIST CHURCH,MRLOS078216,371 NORTH SANDERSON AVENUE,,HEMET,CA,92545,33.75209400,-117.00810100
521517-S00247,3551A0Y5V2,11671905,133662.00,RS0350-01 FARM COUNTRY,MRLOS078607,14604 PROMONTORY AVENUE,,CORONA,CA,92880,33.96050280,-117.60229720
521517-S00600,3551A0Y6QF,10086925,12507.00,Route 23,MRLOS078576,2101 E. Olsen Road,,Thousand Oaks,CA,91360,34.24808330,-118.83647220
521517-S00380,3551A0Y6QA,10086663,25636.00,S HOOVER - W 106TH,MRLOS078213,10611 SOUTH HOOVER,,LOS ANGELES,CA,90044,33.93947220,-118.28716670
521517-S00464,3551A0Y5RV,10087226,36504.00,S LOS ROBLES  and  CORDOVA,MRLOS078454,400 S El Camino Real,,PASADENA,CA,91101,34.14333330,-118.14305560
521517-S00527,3551A0Y6ET,10086670,24286.00,S MARIPOSA - W 3RD,MRLOS078246,260 SOUTH MARIPOSA,,LOS ANGELES,CA,90004,34.06916670,-118.29888890
521517-S00524,3551A0Y5P7,10086665,24279.00,S NORMANDIE - W 52TH,MRLOS078221,1500 WEST 51ST PLACE,,LOS ANGELES,CA,90062,33.99580560,-118.30247220
521517-S00240,3551A0Y6AG,10087312,25787.00,S VALLEY CENTER  and  PALOPINTO RD,MRLOS078573,2025 EAST FINANCIAL WAY,,GLENDORA,CA,91741,34.12930560,-117.82616670
521517-S00385,3551A0Y65A,10094579,25634.00,S VERMONT - W 88TH,MRLOS078220,1201 MANCHESTER AVENUE,,LOS ANGELES,CA,90044,33.96027780,-118.29611110
521517-S00017,3551A0Y636,10086652,24356.00,S. GLENDORA AND E. VINE,MRLOS078174,551 EAST VINE STREET,,WEST COVINA,CA,91790,34.05822220,-117.93450000
507406-7798,3551A0T5CV,10102093,48202.00,SADIE DRIVE,MRLOS070407,"25125 SADIE DRIVE,",,PERRIS,CA,92570,33.75250000,-117.27194000
521517-S00368,3551A0Y647,10087064,12480.00,SAN CLEMENTE,MRLOS078186,2401 1/2 AVENUE DEL PRESIDENTE,,SAN CLEMENTE,CA,92672,33.40972200,-117.60166700
521517-S00616,3551A0Y6HQ,10087133,12436.00,SANTA MARGARITA OVLY - C235,MRLOS078307,22644 CAMINO ALTOZANO,,RANCHO SANTA MARGARITA,CA,92688,33.63291670,-117.61186110
521517-S00369,3551A0Y654,10086116,11747.00,SANTA MONICA/101 FWY,MRLOS078383,5505 SANTA MONICA BOULEVARD,,LOS ANGELES,CA,90038,34.09083300,-118.30861100
521517-S00636,3551A0Y640,10085979,11894.00,SANTA MONICA/MELROSE,MRLOS078130,9029 SANTA MONICA BOULEVARD,,WEST HOLLYWOOD,CA,90069,34.08259900,-118.38787600
521517-S00646,3551A0Y6JG,10086895,12532.00,SBOV37-01 CENTRAL OXNARD,MRLOS078529,300 WEST THIRD STREET,,OXNARD,CA,93030,34.20027780,-119.18038890
521517-S00588,3553A0Y5TG,10115927,12554.00,SBSB08-01 Granada Theater,MRLOS078225,1216 STATE STREET,,,CA,,34.42420000,-119.70500000
521517-S00238,3551A0Y6EC,10104110,47293.00,SBV136-04 GARDEN HILTON,MRLOS078500,2000 SOLAR DRIVE,,OXNARD,CA,93036,34.22141670,-119.14400000
507406-7801,3551A0T49P,10102101,48213.00,SCE,MRLOS070437,"14000 PHILADELPHIA,",,FONTANA,CA,92337,34.03389000,-117.49981000
521517-S00584,3551A0W28L,10100113,82469.00,SCE MEDRONA,MRLOS078750,21770 MADRONA AVENUE,,TORRANCE,CA,90503,33.83001110,-118.34480000
521517-S00467,3551A0Y6JK,10100114,83828.00,SCE PRAIRE,MRLOS078479,17750 PRAIRIE AVENUE,,TORRANCE,CA,90504,33.86947220,-118.34358330
521517-S00661,3551A0Y6VP,10101441,46330.00,SCE TOWER #01604071E/TIERRA REJADA,MRLOS078586,12777 TIERRA REJADA ROAD,,MOORPARK,CA,93021,34.26150000,-118.88408300
507406-6918,3551A0T4L8,10086015,11875.00,SHELDON/GLENOAKS,MRLOS070557,9700 GLENOAKS BOULEVARD,,SUN VALLEY,CA,91352,34.24639000,-118.38286000
521517-S00020,3551A0Y63M,10086004,11864.00,SHERMAN WAY TOPANGA,MRLOS078206,22030 SHERMAN WAY,,CANOGA PARK,CA,91303,34.20138890,-118.60730560
507406-6963,3551A0T44L,10086533,24337.00,SKINNER RESERVIOR,MRLOS070594,32655 BOOTLEGG ROAD,,WINCHESTER,CA,92596,33.57247000,-117.08917000
521517-S00513,3551A0W291,10115924,12025.00,SO. REDONDO BCH,MRLOS078757,1650 SOUTH PACFIC COAST HIGHWAY,,REDONDO BEACH,CA,90277,33.81933330,-118.38413890
507406-6948,3551A0T478,10086435,24265.00,SOUTH HAVEN & EAST MISSION,MRLOS070413,"4021 GREYSTONE DRIVE,",,ONTARIO,CA,91761,34.02864000,-117.56597000
507406-6964,3551A0T4AQ,10086534,12405.00,SOUTH TEMECULA,MRLOS070601,33504 HIGHWAY 79 SOUTH,,TEMECULA,CA,92592,33.49056000,-117.06333000
507406-7463,3551A0T58Z,10087406,51814.00,SPEES,MRLOS070828,23275 EAST ANTELOPE HIGHWAY,,LLANO,CA,93544,34.48361000,-117.71306000
521517-S00239,3551A0Y63C,10086884,39947.00,ST. JOHNS MED CENTER,MRLOS078514,1600 NORTH ROSE AVENUE,,OXNARD,CA,93030,34.21644440,-119.15536110
507406-7465,3551A0T3S0,10087411,51132.00,ST. PAUL CATHOLIC CHURCH,MRLOS070849,"13050 VANOWEN STREET,",,NORTH HOLLYWOOD,CA,91605,34.19344000,-118.41764000
507406-7836,3551A0T4DP,10106085,82302.00,STUART CELLARS,MRLOS070371,"33515 RANCHO CALIFORNIA ROAD,",,TEMECULA,CA,92591,33.52381000,-117.07458000
507406-6927,3551A0T56H,10086067,11820.00,STUDIO CITY,MRLOS070725,"4730 WOODMAN AVENUE,",,SHERMAN OAKS,CA,91423,34.15690000,-118.43103000
507406-6920,3551A0T41C,10086029,11834.00,SUNLAND,MRLOS070585,8836 FOOTHILL BOULEVARD,,LOS ANGELES,CA,90068,34.26092000,-118.32575000
521517-S00305,3551A0Y5S8,10085963,11930.00,SUNSET/SANTA MO OVLY - C632,MRLOS078116,1017 NORTH LA CIENEGA,,WEST HOLLYWOOD,CA,90069,34.09008330,-118.37641670
521517-S00475,3551A0Y6VR,10087440,51052.00,SV-035-02(VY053) EXISTING ST ANTHONY,MRLOS078701,1901 SOUTH SAN GABRIEL BOULEVARD,,SAN GABRIEL,CA,91776,34.07497220,-118.09105560
521517-S00323,3551A0Y6E1,10068074,51134.00,SV0046-91 (VY129) 280 MACHLIN CT. MONOPOLE,MRLOS078183,280 1/2 MACHLIN COURT,,CITY OF INDUSTRY,CA,91789,34.03100000,-117.82188890
521517-S00145,3551A0Y6W7,10068229,51022.00,SV0057-01 ALHAMBRA BAPTIST CHURCH,MRLOS078239,101 SOUTH ATLANTIC BOULEVARD,,ALHAMBRA,CA,91801,34.08998890,-118.13481940
521517-S00573,3551A0Y64T,10107941,87773.00,SV0074-02 LA TIMES BUILDING,MRLOS078646,1333 MAYFLOWER AVENUE,,MONROVIA,CA,91016,34.13722220,-118.01011110
521517-S00353,3551A0Y6X3,10112623,114062.00,SV0088-05 HARLEY DAVISON,MRLOS078145,1919 PUENTE AVENUE,,BALDWIN PARK,CA,91706,34.06935600,-117.96385300
521517-S00089,3551A0Y64N,10127629,101695.00,SV0162-01 ALTADENA GOLF COURSE,MRLOS078287,1456 EAST MENDOCINO STREET,,ALTADENA,CA,91001,34.18544440,-118.11908330
521517-S00379,3551A0Y6T4,11585748,133862.00,SV0302_CLU6384,MRLOS078527,180 SOUTH LAKE AVENUE,,PASADENA,CA,91101,34.14275000,-118.13161110
507406-6928,3551A0T417,10086072,11825.00,SYLMAR,MRLOS070741,13040 SAN FERNANDO ROAD,,SYLMAR,CA,91342,34.30722000,-118.46667000
521517-S00668,3551A0Y6E3,10086894,12530.00,TELEPHONE RD,MRLOS078521,1190 SOUTH VICTORIA AVENUE,,Ventura,CA,93003,34.26436110,-119.21163890
521517-S00532,3551A0Y6AM,10086064,11817.00,TOLUCA LAKE,MRLOS078285,3601 WEST ALAMEDA,,BURBANK,CA,91505,34.15480560,-118.33972220
521517-S00633,3551A0Y5PS,10101525,48062.00,Temecula Promenade,MRLOS078656,40940 County Center Drive,,Temecula,CA,92591,33.52722220,-117.15916670
521517-S00452,3551A0Y6HL,13014409,157411.00,UHAUL,MRLOS078729,657 SOUTH ATLANTIC BOULEVARD,,LOS ANGELES,CA,90022,34.02345100,-118.15655300
521517-S00610,3551A0Y611,10086922,12504.00,VENTURA HOSPITAL,MRLOS078569,147 NORTH BRENT,,Ventura,CA,93003,34.27447220,-119.25811110
521517-S00434,3551A0Y6LQ,10100025,85377.00,VN0019-01 MACY'S,MRLOS078379,477 SOUTH MILLS ROAD,,VENTURA,CA,93003,34.26761110,-119.24769440
521517-S00341,3551A0Y6W3,10127628,100979.00,VN0053-01 CHRIST'S CHURCH OF THE VALLEY,MRLOS078280,13701 STOCKDALE HIGHWAY,,BAKERSFIELD,CA,93314,35.35366670,-119.15780560
521517-S00530,3551A0Y6B5,10127627,103694.00,VN0056-01 NORTH HIGHLAND PARK,MRLOS078271,4010 RIO DEL NORTE STREET,,BAKERSFIELD,CA,93308,35.44233330,-119.03191670
521517-S00400,3551A0Y5SH,10068781,79540.00,VN0059 ALESSANDRO OFFICE BLDG,MRLOS078286,2300 ALESSANDRO DRIVE,,VENTURA,CA,93001,34.26613890,-119.26916670
521517-S00396,3551A0Y6V5,10150393,124897.00,VN0274-01 SCE PLEASANT VALLEY RD,MRLOS078572,1012 EAST PLEASANT VALLEY ROAD,,OXNARD,CA,93033,34.15365280,-119.16625280
521517-S00660,3551A0Y5PW,10150394,123181.00,VN0276-01 EMI'S PRODUCE,MRLOS078579,2600 OLD TELEGRAPH ROAD,,,CA,,34.39873610,-118.94867220
521517-S00469,3551A0Y674,10087249,27380.00,W. ARROW HWY. AND BARRANCA AVE,MRLOS078486,444 C WEST CARTER DRIVE,,GLENDORA,CA,91740,34.10666670,-117.87169440
507406-6965,3551A0T4PX,10086542,24342.00,WALKER CYN RD,MRLOS070624,"26885 HILLTOP DRIVE,",,LAKE ELSINORE,CA,92532,33.72861000,-117.37806000
507406-7461,3551A0T5BT,10087390,51068.00,WASTE WATER,MRLOS070811,122 PALOMINO DRIVE,,BIG BEAR CITY,CA,92314,34.26874000,-116.81471000
521517-S00442,3551A0Y61W,10574392,164905.00,WASTE WATER,MRLOS078411,14700 RIVER ROAD,,EASTVALE,CA,92880,33.93038600,-117.60527400
507406-7810,3551A0T581,10103539,48206.00,WATER TANK,MRLOS070519,"61600 DEVIL LADDER,",,MOUNTAIN CENTER,CA,92561,33.59667000,-116.59333000
521517-S00327,3551A0Y6AA,10086005,11865.00,WHITE OAK AND 101 FWY,MRLOS078215,17600 BURBANK BOULEVARD,,ENCINO,CA,91316,34.17166670,-118.51527780
